barcode,name,Valeur du contenu net,Unité de mesure du contenu net
3667193022546,BRACELET BS12 BZH SIMPLE,1,PIECE
3667193022539,BRACELET BS11 BZH SIMPLE,1,PIECE
3667193022522,BRACELET BS10 BZH SIMPLE,1,PIECE
3667193022515,BRACELET BS09 BZH SIMPLE,1,PIECE
3667193022508,BRACELET BS08 BZH SIMPLE,1,PIECE
3667193022492,BRACELET BS07 BZH SIMPLE,1,PIECE
3667193022485,BRACELET BS06 BZH SIMPLE,1,PIECE
3667193022478,BRACELET BS05 BZH SIMPLE,1,PIECE
3667193022461,BRACELET BS04 BZH SIMPLE,1,PIECE
3667193022454,BRACELET BS03 BZH SIMPLE,1,PIECE
3667193022447,BRACELET FSI25 - 01 TUBE (30cm),40,PIECE
3667193022430,BRACELET FSI24 - 01 TUBE (30cm),20,PIECE
3667193022423,BRACELET FSI43 - 01 TUBE (30cm),20,PIECE
3667193022416,BRACELET FSI50 - 01 TUBE (30cm),20,PIECE
3667193022409,BRACELET FSI39 - 01 TUBE (30cm),20,PIECE
3667193022393,BRACELET FSI56 - 01 TUBE (30cm),20,PIECE
3667193022348,BRACELET FSI71 - 01 TUBE (40cm),40,PIECE
3667193022362,BRACELET FSI72 - 01 TUBE (40cm),40,PIECE
3667193022355,BRACELET FSI71 - 01 TUBE (30cm),32,PIECE
3667193022379,BRACELET FSI72 - 01 TUBE (30cm),32,PIECE
3667193022386,BRACELET FSI30 - 01 TUBE (30cm),20,PIECE
3667193017757,BRACELET BS01 BZH SIMPLE - 13S,1,PIECE
3667193017696,BRACELET BS01 BZH SIMPLE - 10S,1,PIECE
3667193017672,BRACELET BS01 BZH SIMPLE - 09S,1,PIECE
3667193017504,BRACELET BS01 BZH SIMPLE - 01G,1,PIECE
3667193017740,BRACELET BS01 BZH SIMPLE - 13G,1,PIECE
3667193017665,BRACELET BS01 BZH SIMPLE - 09G,1,PIECE
3667193017658,BRACELET BS01 BZH SIMPLE - 08S,1,PIECE
3667193015586,BRACELET BS02 BZH SIMPLE - 08S,1,PIECE
3667193017597,BRACELET BS01 BZH SIMPLE - 05S,1,PIECE
3667193017511,BRACELET BS01 BZH SIMPLE - 01S,1,PIECE
3667193013827,BRACELET BS01 BZH SIMPLE - 01 TUBE (30cm),30,PIECE
3667193015524,BRACELET BS02 BZH SIMPLE - 05S,1,PIECE
3667193017528,BRACELET BS01 BZH SIMPLE - 02G,1,PIECE
3667193015432,BRACELET BS02 BZH SIMPLE - 01G,1,PIECE
3667193017580,BRACELET BS01 BZH SIMPLE - 05G,1,PIECE
3667193017726,BRACELET BS01 BZH SIMPLE - 12G,1,PIECE
3667193013841,BRACELET BS02 BZH SIMPLE - 01 TUBE (40cm),40,PIECE
3667193013810,BRACELET BS01 BZH SIMPLE - 01 TUBE (40cm),40,PIECE
3667193015579,BRACELET BS02 BZH SIMPLE - 08G,1,PIECE
3667193017573,BRACELET BS01 BZH SIMPLE - 04S,1,PIECE
3667193015920,BRACELET BS02 BZH SIMPLE - 12S,1,PIECE
3667193015449,BRACELET BS02 BZH SIMPLE - 01S,1,PIECE
3667193017689,BRACELET BS01 BZH SIMPLE - 10G,1,PIECE
3667193017566,BRACELET BS01 BZH SIMPLE - 04G,1,PIECE
3667193022256,BRACELET BS01 BZH SIMPLE,1,PIECE
3667193017719,BRACELET BS01 BZH SIMPLE - 11S,1,PIECE
3667193015470,BRACELET BS02 BZH SIMPLE - 03G,1,PIECE
3667193015593,BRACELET BS02 BZH SIMPLE - 09G,1,PIECE
3667193022249,BRACELET BS02 BZH SIMPLE,1,PIECE
3667193017610,BRACELET BS01 BZH SIMPLE - 06S,1,PIECE
3667193015661,BRACELET BS02 BZH SIMPLE - 12S,1,PIECE
3667193015463,BRACELET BS02 BZH SIMPLE - 02S,1,PIECE
3667193015609,BRACELET BS02 BZH SIMPLE - 09S,1,PIECE
3667193015685,BRACELET BS02 BZH SIMPLE - 13S,1,PIECE
3667193015678,BRACELET BS02 BZH SIMPLE - 13G,1,PIECE
3667193015500,BRACELET BS02 BZH SIMPLE - 04S,1,PIECE
3667193015531,BRACELET BS02 BZH SIMPLE - 06G,1,PIECE
3667193015487,BRACELET BS02 BZH SIMPLE - 03S,1,PIECE
3667193015654,BRACELET BS02 BZH SIMPLE - 12G,1,PIECE
3667193015623,BRACELET BS02 BZH SIMPLE - 10S,1,PIECE
3667193015562,BRACELET BS02 BZH SIMPLE - 07S,1,PIECE
3667193017634,BRACELET BS01 BZH SIMPLE - 07S,1,PIECE
3667193017733,BRACELET BS01 BZH SIMPLE - 12S,1,PIECE
3667193017603,BRACELET BS01 BZH SIMPLE - 06G,1,PIECE
3667193017627,BRACELET BS01 BZH SIMPLE - 07G,1,PIECE
3667193017559,BRACELET BS01 BZH SIMPLE - 03S,1,PIECE
3667193017542,BRACELET BS01 BZH SIMPLE - 03G,1,PIECE
3667193015647,BRACELET BS02 BZH SIMPLE - 11S,1,PIECE
3667193015517,BRACELET BS02 BZH SIMPLE - 05G,1,PIECE
3667193013858,BRACELET BS02 BZH SIMPLE - 01 TUBE (30cm),30,PIECE
3667193015494,BRACELET BS02 BZH SIMPLE - 04G,1,PIECE
3667193015548,BRACELET BS02 BZH SIMPLE - 06S,1,PIECE
